Name of Clinic,Address,Email,Phone,Services
Advanced Foot Care Monto,i 35 Flinders StreetMonto QLD 4630,info@advancedfootcare.com.au,0741282300,"Having warts on the bottom of the feet that won’t go away is a frustrating, ongoing problem that can last months or even years; Ingrown toenails on a woman's foot, pain in the big toe closeup; Ingrown toenails, also known as onychocryptosis, are a common and painful complaint; Our team can diagnose and treat many ailments and problems of the lower limb and foot including heel and arch pain (Plantar Fasciitis), growing pains, collapsed arches, arthritis, shin splints, neuropathy, poor circulation and more"
My FootDr Rockhampton,i 8/235-239 Musgrave StNorth Rockhampton QLD 4701,rockhampton@myfootdr.com.au,,"Biomechanical Assessment; Bunions, Corns & Calluses; Children’s Foot Health; Custom Foot Orthotics; Diabetes Foot Screenings; Fungal & Ingrown Toenails; Fungal Nail Laser Treatment; Heel & Arch Pain; Ingrown Nail Surgery; Leg & Ankle Pain; Shin Splints; Shockwave Treatment; Video Gait Analysis"
BIM Podiatry Balcatta,"i Lot 2, 386 Wanneroo RoadWestminster WA 6061",,1800366837,"Having warts on the bottom of the feet that won’t go away is a frustrating, ongoing problem that can last months or even years; Ingrown toenails on a woman's foot, pain in the big toe closeup; Ingrown toenails, also known as onychocryptosis, are a common and painful complaint"
Back In Motion Podiatry Como,i Unit 3 / 460 Canning HighwayComo WA 6152,como@backinmotion.com.au,0893133414,"Having warts on the bottom of the feet that won’t go away is a frustrating, ongoing problem that can last months or even years; Ingrown toenails on a woman's foot, pain in the big toe closeup; Ingrown toenails, also known as onychocryptosis, are a common and painful complaint"
My FootDr Wembley Downs,i 136B Weaponess RdWembley Downs WA 6019,wembleydowns@myfootdr.com.au,,"Are you one of the 48% of Australians that wakes up with heel pain once a week; Having warts on the bottom of the feet that won’t go away is a frustrating, ongoing problem that can last months or even years; Heel pain, often caused by plantar fasciitis, is a common condition that can cause severe pain at the bottom and inside of the heel; Ingrown toenails on a woman's foot, pain in the big toe closeup; Ingrown toenails, also known as onychocryptosis, are a common and painful complaint; Since we opened our Wembley Downs podiatry clinic in 2012 we have built a reputation for providing athletes of all levels and backgrounds with quality and innovative podiatry services; We can help you with Custom Foot Orthotics, sports podiatry, podiatry for children, diabetic footcare, ingrown toenail treatment and arch and heel pain"
My FootDr Hove,i 372 Brighton RdHove SA 5048,hove@myfootdr.com.au,0883582211,Ankle-foot Orthoses (AFO’s); CAM walker (moon boot); Clinical podiatry; Custom foot orthotics; Custom footwear; Diabetic footcare; National Disability Insurance Scheme; Seniors footcare; Supramelleolar orthotics (SMO’s); Video gait analysis
My FootDr Modbury,i 2/959 North East RdModbury SA 5092,modbury@myfootdr.com.au,0882654130,"Having warts on the bottom of the feet that won’t go away is a frustrating, ongoing problem that can last months or even years; Ingrown toenails on a woman's foot, pain in the big toe closeup; Ingrown toenails, also known as onychocryptosis, are a common and painful complaint; Other services include ingrown toenail management, diabetic foot care, general foot care, footwear advice, corn and callus treatment; Revere footwear provides all day comfort, functionality and support by enhancing foot health for those experiencing heel pain, tired aching feet, sore knees and lower back pain; The Podiatrists at this practice have a special interest in the treatment of heel pain, postural alignment, children’s foot problems and sports-related foot and leg injuries"
My FootDr Unley,i 98 Unley RdUnley SA 5061,unley@myfootdr.com.au,,"Custom made soft orthotics; DVA Claims are accepted by appropriate doctor referral; Enhanced Primary Care Treatment plans by Doctors referral are accepted.; General foot care including pain-free treatment of corns, calluses, warts and ingrown toe nails.; Heel pain and heel spur solutions are a speciality; Laser therapy for Nail Fungal Infections; Postural assessment for those with hip, knee and back pain caused by the alignment of the feet.; Shockwave therapy; Surgical ingrown toenail procedures; Video and computerised walking analysis"
My FootDr Bathurst,i 41 Keppel StBathurst NSW 2795,bathurst@myfootdr.com.au,0263311122,CAM Walker (Moon Boot); Clinical Podiatry; Custom Foot Orthotics; Diabetic Footcare; National Disability Insurance Scheme; Seniors Footcare; Video Gait Analysis
My FootDr Blacktown,i Suite 113/30 Campbell StreetBlacktown NSW 2148,blacktown@myfootdr.com.au,,CAM Walker (Moon Boot); Clinical Podiatry; Custom Foot Orthotics; Diabetic Footcare; National Disability Insurance Scheme; Seniors Footcare; Video Gait Analysis
Back In Motion Podiatry Bundall,"i 1 Allawah St(cnr Bundall Rd)Bundall, Gold Coast QLD 4217",bundall.podiatry@backinmotion.com.au,0755924141,"Having warts on the bottom of the feet that won’t go away is a frustrating, ongoing problem that can last months or even years; Ingrown toenails on a woman's foot, pain in the big toe closeup; Ingrown toenails, also known as onychocryptosis, are a common and painful complaint"
My FootDr Allsports Podiatry Parkwood,i Shop 13/122 Napper RdParkwood QLD 4214,parkwood@allsportspodiatry.com.au,0755611810,"Having warts on the bottom of the feet that won’t go away is a frustrating, ongoing problem that can last months or even years; Ingrown toenails on a woman's foot, pain in the big toe closeup; Ingrown toenails, also known as onychocryptosis, are a common and painful complaint"
Physiologic Podiatry Robina,i 334 Scottsdale DriveRobina QLD 4226,robina@physiologic.com.au,,"Dr Luke has extensive experience working with recreational and elite athletes; Having warts on the bottom of the feet that won’t go away is a frustrating, ongoing problem that can last months or even years; Ingrown toenails on a woman's foot, pain in the big toe closeup; Ingrown toenails, also known as onychocryptosis, are a common and painful complaint; Our clinic is equipped with state of the art diagnostic and treatment equipment, including video gait analysis systems for comprehensive bio-mechanical examinations, 3D foot scanners and much more; Our podiatrists are trained to include a wide range of foot, ankle and lower leg conditions including heel pain (plantar fasciitis), Achilles Tendinopathy, shin splints (medial tibial periostitis), bunions (hallux valgus), forefoot pain (Morton’s neuroma), foot and ankle sprains, knee pain (e; Whether you’re an elite athlete or a child with a sporting injury, Dr Luke Kelly and his Robina podiatry team treat all types of patients with different conditions and lifestyles we strive to provide you with the very best in health outcomes"
